timestamp,message
1783638300000,2 291483629763 eni-06aef642cbf81c66b 10.0.11.15 10.0.1.117 80 44450 6 7 18947 1783638300 1783638322 ACCEPT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 10.0.1.117 10.0.11.15 64658 80 6 7 497 1783638300 1783638322 ACCEPT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 20.65.137.218 10.0.1.117 44264 2083 6 1 52 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 170.187.165.242 10.0.1.117 35988 23000 6 1 44 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 199.45.154.177 10.0.1.117 17556 8545 6 1 60 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 205.210.31.133 10.0.1.117 52317 51005 6 1 44 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 10.0.1.117 10.0.11.15 44450 80 6 7 497 1783638300 1783638322 ACCEPT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 162.216.149.53 10.0.1.117 56222 9096 6 1 44 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 165.154.12.82 10.0.1.117 60635 12500 6 1 44 1783638300 1783638322 REJECT OK
1783638300000,2 291483629763 eni-06aef642cbf81c66b 10.0.11.15 10.0.1.117 80 64658 6 7 18947 1783638300 1783638322 ACCEPT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 10.0.1.117 10.0.10.205 60300 80 6 6 446 1783638331 1783638350 ACCEPT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 10.0.1.117 10.0.10.205 45540 80 6 7 498 1783638331 1783638350 ACCEPT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 10.0.10.205 10.0.1.117 80 60300 6 7 18947 1783638331 1783638350 ACCEPT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 172.234.221.84 10.0.1.117 39001 1588 6 1 52 1783638331 1783638350 REJECT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 128.203.204.215 10.0.1.117 57686 389 6 1 52 1783638331 1783638350 REJECT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 10.0.10.205 10.0.1.117 80 45540 6 7 18947 1783638331 1783638350 ACCEPT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 162.216.149.235 10.0.1.117 53037 4480 6 1 44 1783638331 1783638350 REJECT OK
1783638331000,2 291483629763 eni-06aef642cbf81c66b 147.185.133.121 10.0.1.117 54430 9011 6 1 44 1783638331 1783638350 REJECT OK
